WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-55.1233725 -27.5180986994573)","1042059357",,,aerodrome,"343",,,Aeródromo de Oberá,,,,
"POINT (-55.8641056 -27.6072985994484)","1042020592",,,aerodrome,,,,Bonetti,,,,
"POINT (-56.070767 -28.041176099409)","9525537952",yes,,aerodrome,"123",,,Aeródromo de la Estancia Villa Corina,,04/22,unpaved,"30"
"POINT (-57.2904989 -35.3532981999657)","1042058809",,,aerodrome,,,,Punta Indio Naval Air Base,,,,
"POINT (-58.4402778 -35.5686111000137)","1042021262",,,aerodrome,"18",,,Aeródromo La Igualdad,,,,
"POINT (-58.4640489 -35.7525300000554)","1042020865",,,aerodrome,,,,Aeroclub General Belgrano,,,,
"POINT (-57.6414 -36.7756000002932)","1042020790",,,aerodrome,"93",,,Aeródromo Establecimiento El Araza,,,,
"POINT (-60.3005411 -38.4066657006569)","6408227583",,,aerodrome,"104",,,Aeródromo Santagiulian,,,,
"POINT (-60.2761 -38.3478000006448)","1042022058",,,aerodrome,,,,Aeródromo Petrazzini,,,,
"POINT (-60.1344915 -38.030447800578)","1042020974",,,aerodrome,"194",,,Aeródromo Adolfo Gonzales Chaves,,,,
"POINT (-59.8164 -35.6081000000226)","1042058749",,,aerodrome,"45",,,Aeródromo Saladillo,,,,
"POINT (-60.1467 -35.8283000000727)","1042058588",,,aerodrome,"54",,,Aeródromo Santa Rita,,,,
"POINT (-61.3886932 -35.6329256000282)","1042020652",,,aerodrome,,,,Aeroclub de Carlos Casares,,,,
"POINT (-61.9424156 -35.7912813000643)","1042021981",,,aerodrome,"86",,,Aeródromo La Mariela,,,,
"POINT (-62.4697 -35.4255999999817)","1042020662",,,aerodrome,"94",,,Aeródromo Carlos Tejedor,,,,
"POINT (-61.8843994 -38.4986000006755)","1042020610",,,aerodrome,,,,Aeródromo Cabildo,,,,
"POINT (-68.554036 -46.6138546999263)","2671772726",,,aerodrome,,,,Aeródromo de Piedra Clavada,,,,
"POINT (-70.2774203 -46.6762072999012)","3038307515",,,aerodrome,,,,Aeródromo San José,,,,
"POINT (-71.274089 -45.9354378001889)","7703815842",,,aerodrome,,,,Aeródromo de Lago Blanco,,,,
"POINT (-70.6608291 -47.1649682997002)","3302475676",,,aerodrome,,,,Aeródromo Cueva de las Manos,,,,
"POINT (-70.9298366 -47.4365223995866)","3302475675",,,aerodrome,,,,Aeródromo Bajo Caracoles,,,,
"POINT (-71.7375887 -47.5532133995376)","3302475677",,,aerodrome,,,,Aeródromo Lago Posadas,,,,
"POINT (-72.7984662 -48.9328732989755)","1042061945",,,aerodrome,,,,Aeródromo Laguna Redonda,,,,
"POINT (-71.4780751 -43.0878775009333)","1042022236",,,aerodrome,,,,Aeródromo Trevelin,,,,
"POINT (-71.3392029 -40.3353004009627)","1042021106",,,aerodrome,,,,Aeródromo Meliquina,,,,
"POINT (-70.7138901 -41.1266670010202)","1042021172",,,aerodrome,,,,Aeródromo Pilcaniyeu,,,,
"POINT (-71.8515458 -41.5065719010302)","1348450372",,,aerodrome,,,,Paso El León Airstrip,,,,
"POINT (-71.4562049 -42.4805796009979)","1042020700",,,aerodrome,,,,Aeródromo Cholila,,,,
"POINT (-71.8050003 -42.2174988010151)","1042021081",,,aerodrome,,,,Aeródromo Lago La Esperanza,,SA8A,,
"POINT (-68.7072439 -41.2413728010245)","1042059435",,,aerodrome,,,,Aeródromo Maquinchao,,,,
"POINT (-69.236269 -42.2761656010118)","4286978636",,,aerodrome,,,,Aeródromo Gastre,,,,
"POINT (-68.2927807 -42.5221544009946)","3397838223",,,aerodrome,,,,Aeródromo Gan Gan,,,,
"POINT (-68.0718455 -40.8163550010033)","1042020354",,,aerodrome,,,,Aeródromo Los Menucos,,,,
"POINT (-70.007121 -40.1913799009473)","1042059375",,,aerodrome,"649",,,Aeródromo Piedra del Águila,,,,
"POINT (-70.3897247 -37.2736130004089)","1042020787",,,aerodrome,,,,Aeródromo El Alamito,,,,
"POINT (-69.3002777 -37.3650017004299)","1042021457",,,aerodrome,,,,Aeródromo Yacimiento El Trapial,,,,
